,party,gender,state,name
0,D,M,MN,ALAN FRANKEN
1,D,F,MN,AMY KLOBUCHAR
2,I,M,ME,ANGUS KING
3,D,F,CA,BARBARA BOXER
4,D,F,MD,BARBARA MIKULSKI
5,D,M,MD,BENJAMIN CARDIN
6,R,M,NE,BENJAMIN SASSE
7,I,M,VT,BERNARD SANDERS
8,R,M,LA,BILL CASSIDY
9,D,M,FL,BILL NELSON
10,R,M,TN,BOB CORKER
11,D,M,HI,BRIAN SCHATZ
12,R,M,IA,CHARLES GRASSLEY
13,D,M,NY,CHARLES SCHUMER
14,D,M,DE,CHRIS COONS
15,D,M,CT,CHRISTOPHER MURPHY
16,D,F,MO,CLAIRE MCCASKILL
17,D,M,NJ,CORY BOOKER
18,R,M,CO,CORY GARDNER
19,R,M,AK,DAN SULLIVAN
20,R,M,IN,DANIEL COATS
21,R,M,GA,DAVID PERDUE
22,R,M,LA,DAVID VITTER
23,R,M,NV,DEAN HELLER
24,R,F,NE,DEB FISCHER
25,D,F,MI,DEBBIE STABENOW
26,D,F,CA,DIANNE FEINSTEIN
27,D,M,MA,EDWARD MARKEY
28,D,F,MA,ELIZABETH WARREN
29,D,M,MI,GARY PETERS
30,D,M,NV,HARRY REID
31,D,F,ND,HEIDI HEITKAMP
32,R,M,OK,JAMES INHOFE
33,R,M,OK,JAMES LANKFORD
34,D,F,NH,JEANNE SHAHEEN
35,R,M,AZ,JEFF FLAKE
36,D,M,OR,JEFF MERKLEY
37,R,M,AL,JEFFERSON SESSIONS
38,R,M,KS,JERRY MORAN
39,D,M,IN,JOE DONNELLY
40,D,M,WV,JOE MANCHIN
41,R,M,WY,JOHN BARRASSO
42,R,M,AR,JOHN BOOZMAN
43,R,M,TX,JOHN CORNYN
44,R,M,ND,JOHN HOEVEN
45,R,M,GA,JOHN ISAKSON
46,R,M,AZ,JOHN MCCAIN
47,D,M,RI,JOHN REED
48,R,M,SD,JOHN THUNE
49,D,M,MT,JON TESTER
50,R,F,IA,JONI ERNST
51,R,F,NH,KELLY AYOTTE
52,D,F,NY,KIRSTEN GILLIBRAND
53,R,M,TN,LAMAR ALEXANDER
54,R,M,SC,LINDSEY GRAHAM
55,R,F,AK,LISA MURKOWSKI
56,R,M,FL,MARCO RUBIO
57,D,F,WA,MARIA CANTWELL
58,R,M,IL,MARK KIRK
59,D,M,VA,MARK WARNER
60,D,M,NM,MARTIN HEINRICH
61,D,F,HI,MAZIE HIRONO
62,D,M,CO,MICHAEL BENNET
63,R,M,ID,MICHAEL CRAPO
64,R,M,WY,MICHAEL ENZI
65,R,M,UT,MIKE LEE
66,R,M,SD,MIKE ROUNDS
67,R,M,KY,MITCH MCCONNELL
68,R,M,UT,ORRIN HATCH
69,R,M,KS,PAT ROBERTS
70,D,M,VT,PATRICK LEAHY
71,R,M,PA,PATRICK TOOMEY
72,D,F,WA,PATTY MURRAY
73,R,M,KY,RAND PAUL
74,D,M,CT,RICHARD BLUMENTHAL
75,R,M,NC,RICHARD BURR
76,D,M,IL,RICHARD DURBIN
77,R,M,AL,RICHARD SHELBY
78,D,M,PA,ROBERT CASEY
79,D,M,NJ,ROBERT MENENDEZ
80,R,M,OH,ROBERT PORTMAN
81,R,M,MS,ROGER WICKER
82,R,M,WI,RON JOHNSON
83,D,M,OR,RON WYDEN
84,R,M,MO,ROY BLUNT
85,D,M,RI,SHELDON WHITEHOUSE
86,R,F,WV,SHELLEY CAPITO
87,D,M,OH,SHERROD BROWN
88,R,M,MT,STEVE DAINES
89,R,F,ME,SUSAN COLLINS
90,D,F,WI,TAMMY BALDWIN
91,R,M,TX,TED CRUZ
92,R,M,MS,THAD COCHRAN
93,R,M,NC,THOM TILLIS
94,D,M,DE,THOMAS CARPER
95,R,M,SC,TIM SCOTT
96,D,M,VA,TIMOTHY KAINE
97,R,M,AR,TOM COTTON
98,D,M,NM,TOM UDALL
